feature_set,n_blocks,mask_mode,classifier,classifier_params,k_features,n_features,accuracy,macro_f1,balanced_accuracy
all+abcd_v2,2,raw,lgbm,"n=300,lv=7,lr=0.03",all,130,0.705,0.7272389276134966,0.7360317460317459
all+melnv,2,raw,lgbm,"n=200,lv=7,lr=0.05",100,180,0.73,0.7363515001834114,0.7359788359788361
all+contrast+abcd_v2+boundary+melnv,5,raw,lgbm,"n=300,lv=7,lr=0.03",all,259,0.7133333333333334,0.7330031555267529,0.7354497354497355
contrast+abcd_v2+melnv,3,raw,lgbm,"n=300,lv=7,lr=0.03",all,138,0.7083333333333334,0.7269729798632043,0.7354497354497355
contrast+abcd_v2+melnv,3,raw,lgbm,"n=200,lv=7,lr=0.05",all,138,0.71,0.7266323746984504,0.7353968253968254
all+contrast+abcd_v2+boundary+melnv,5,raw,lgbm,"n=300,lv=15,lr=0.05",100,259,0.71,0.7309631136638197,0.7351322751322752
all+abcd_v2,2,raw,xgb,"n=300,d=3,lr=0.03",all,130,0.71,0.7314744592939788,0.7347089947089946
all+contrast,2,raw,xgb,"n=300,d=3,lr=0.03",100,137,0.7216666666666667,0.7353791453755155,0.7344444444444443
abcd_v2+boundary+melnv,3,raw,xgb,"n=200,d=3,lr=0.05",all,122,0.7033333333333334,0.7273284017470064,0.7342328042328042
all+contrast,2,raw,lgbm,"n=300,lv=7,lr=0.03",100,137,0.7183333333333334,0.7304190014895227,0.7341269841269842
all+contrast+abcd_v2+boundary+melnv,5,raw,lgbm,"n=200,lv=7,lr=0.05",100,259,0.71,0.7311958442527221,0.7337037037037036
all+contrast+boundary+melnv,4,raw,lgbm,"n=300,lv=15,lr=0.05",all,232,0.7166666666666667,0.7306295079908273,0.7334391534391534
all+contrast+abcd_v2,3,raw,lgbm,"n=200,lv=7,lr=0.05",100,164,0.7116666666666667,0.7296153135749176,0.7334391534391534
all+boundary+melnv,3,raw,lgbm,"n=300,lv=15,lr=0.05",100,198,0.715,0.7288541113204206,0.7332804232804232
all+contrast,2,raw,lgbm,"n=300,lv=15,lr=0.05",all,137,0.7283333333333334,0.7398373983739838,0.7332275132275132
contrast+abcd_v2+boundary+melnv,4,raw,lgbm,"n=200,lv=7,lr=0.05",100,156,0.71,0.7256563869566967,0.733015873015873
all+abcd_v2+boundary+melnv,4,raw,lgbm,"n=300,lv=15,lr=0.05",all,225,0.7016666666666667,0.7240414855671337,0.7328571428571428
contrast+boundary+melnv,3,raw,xgb,"n=150,d=2,lr=0.05",100,129,0.7133333333333334,0.724169874468744,0.7326984126984127
all+contrast+melnv,3,raw,xgb,"n=200,d=3,lr=0.05",all,214,0.7183333333333334,0.7292205913135686,0.7317460317460318
all+abcd_v2+boundary,3,raw,xgb,"n=150,d=2,lr=0.05",100,148,0.6983333333333334,0.7132176438702608,0.7313756613756613
contrast+abcd_v2+boundary,3,raw,lgbm,"n=200,lv=7,lr=0.05",all,79,0.6983333333333334,0.7228160204842782,0.7311111111111112
contrast+abcd_v2+boundary,3,raw,lgbm,"n=200,lv=7,lr=0.05",100,79,0.6983333333333334,0.7228160204842782,0.7311111111111112
all+abcd_v2+boundary,3,raw,xgb,"n=300,d=3,lr=0.03",100,148,0.7116666666666667,0.7294813729825846,0.7308465608465609
all+contrast+boundary,3,raw,lgbm,"n=300,lv=15,lr=0.05",all,155,0.7216666666666667,0.7340049462673042,0.7306878306878306
all+melnv,2,raw,lgbm,"n=300,lv=7,lr=0.03",100,180,0.715,0.7272654315225666,0.7302116402116402
contrast+abcd_v2+boundary+melnv,4,raw,lgbm,"n=300,lv=7,lr=0.03",all,156,0.6983333333333334,0.721105644909933,0.7299470899470899
all+abcd_v2+melnv,3,raw,lgbm,"n=200,lv=7,lr=0.05",100,207,0.71,0.7241075382723562,0.7299470899470899
all+contrast+melnv,3,raw,lgbm,"n=200,lv=7,lr=0.05",all,214,0.7233333333333334,0.7307016460550143,0.7296825396825396
abcd_v2+boundary+melnv,3,raw,lgbm,"n=200,lv=7,lr=0.05",100,122,0.6966666666666667,0.7155990830078833,0.7295238095238096
contrast+abcd_v2+boundary+melnv,4,raw,lgbm,"n=200,lv=7,lr=0.05",all,156,0.6983333333333334,0.720968387354942,0.7294708994708995
contrast+abcd_v2+boundary+melnv,4,raw,lgbm,"n=300,lv=15,lr=0.05",all,156,0.6983333333333334,0.7219471462672605,0.7294708994708995
contrast+abcd_v2+boundary+melnv,4,raw,xgb,"n=200,d=3,lr=0.05",all,156,0.6966666666666667,0.7217158297306047,0.7283597883597883
all+contrast+melnv,3,raw,xgb,"n=300,d=3,lr=0.03",all,214,0.71,0.7241737404657332,0.7278306878306878
all+melnv,2,raw,xgb,"n=200,d=3,lr=0.05",all,180,0.7066666666666667,0.7257459499564763,0.7277248677248677
all+contrast,2,raw,xgb,"n=150,d=2,lr=0.05",100,137,0.71,0.7235745432466744,0.7271428571428572
all+abcd_v2+boundary+melnv,4,raw,lgbm,"n=200,lv=7,lr=0.05",all,225,0.7033333333333334,0.7199792152866348,0.7271428571428572
contrast+melnv,2,raw,xgb,"n=150,d=2,lr=0.05",100,111,0.7116666666666667,0.720729610741328,0.7266137566137566
all+contrast,2,raw,xgb,"n=150,d=2,lr=0.05",all,137,0.7083333333333334,0.7226527926190415,0.7265079365079364
all+contrast+boundary+melnv,4,raw,xgb,"n=200,d=3,lr=0.05",100,232,0.7116666666666667,0.7252504885589556,0.7259259259259259
all+contrast+abcd_v2+boundary,4,raw,lgbm,"n=200,lv=7,lr=0.05",all,182,0.71,0.7258377379519946,0.7257142857142856
all+abcd_v2,2,raw,xgb,"n=150,d=2,lr=0.05",100,130,0.6866666666666666,0.7056569924093105,0.725026455026455
all+contrast+abcd_v2,3,raw,lgbm,"n=200,lv=7,lr=0.05",all,164,0.7133333333333334,0.7253085769460531,0.7246560846560847
abcd_v2+melnv,2,raw,lgbm,"n=300,lv=7,lr=0.03",all,104,0.6983333333333334,0.7148017244364092,0.7245502645502645
all+contrast+melnv,3,raw,lgbm,"n=300,lv=15,lr=0.05",100,214,0.7033333333333334,0.7217635190100772,0.7243386243386244
